ID,Line_EN,Station,Station_EN,Component_EN,Occurrence Date,Installation Date,Year,Month,YearMonth,Season,Days Since Installation,Months Since Installation,Years Since Installation,Average Daily Ridership,Ridership_Category,Location_Type_EN,Station_Daily_Runs,Station_Daily_Runs_Category,Manufacturer,Supplier,LineStation,LineStation_EN,LineStation_Failure_Count,PlatformDoor,PlatformDoor_Failure_Count,Platform_Number,Door_Number,Door_Position,Component
1,Ilsan Line,삼송,Samsong,Entry/Exit Sensor,2019-01-04,2016-11-15,2019,1,2019-01,Winter,780,26.0,2.136986301,30046,High,Underground,132,Medium-High,Sick,GS네오텍,일산선_삼송,Ilsan Line_Samsong,54,2번홈_전체,15.0,2.0,0.0,0.0,진입/진출센서
2,Gyeongui Line,운정,Unjeong,Motor,2019-01-05,2017-10-15,2019,1,2019-01,Winter,447,14.9,1.224657534,9597,Medium-Low,Above Ground,74,Low,dunkern,GS네오텍,경의선_운정,Gyeongui Line_Unjeong,21,3번홈_4-1,30.0,3.0,4.0,1.0,모터
3,Gyeongui Line,강매,Gangmae,Motor,2019-01-07,2018-01-15,2019,1,2019-01,Winter,357,11.9,0.978082192,4351,Low,Above Ground,79,Low,dunkern,우진산전,경의선_강매,Gyeongui Line_Gangmae,44,1번홈_1-2,112.0,1.0,1.0,2.0,모터
4,Gyeongui Line,백마,Baengma,Emergency Door Sensor,2019-01-14,2010-10-15,2019,1,2019-01,Winter,3013,100.4333333,8.254794521,9648,Medium-Low,Above Ground,81,Low,Unknown,우진산전,경의선_백마,Gyeongui Line_Baengma,41,1번홈_6-4,98.0,1.0,6.0,4.0,비상문센서
5,Ilsan Line,화정,Hwajeong,DCU,2019-01-14,2012-07-15,2019,1,2019-01,Winter,2374,79.13333333,6.504109589,24704,High,Underground,132,Medium-High,NRT,GS네오텍,일산선_화정,Ilsan Line_Hwajeong,21,1번홈_1-1,174.0,1.0,1.0,1.0,DCU
6,Ilsan Line,주엽,Juyeop,Motor,2019-01-22,2011-10-15,2019,1,2019-01,Winter,2656,88.53333333,7.276712329,13733,Medium-Low,Underground,132,Medium-High,현대무벡스,GS네오텍,일산선_주엽,Ilsan Line_Juyeop,57,1번홈_5-1,85.0,1.0,5.0,1.0,모터
7,Gyeongui Line,파주,Paju,Emergency Door Sensor,2019-01-22,2017-12-15,2019,1,2019-01,Winter,403,13.43333333,1.104109589,1544,Low,Above Ground,70,Low,Unknown,GS네오텍,경의선_파주,Gyeongui Line_Paju,44,1번홈_1-2,112.0,1.0,1.0,2.0,비상문센서
8,Gyeongui Line,문산,Munsan,Entry/Exit Sensor,2019-01-26,2017-12-15,2019,1,2019-01,Winter,407,13.56666667,1.115068493,6668,Medium-Low,Above Ground,74,Low,오토닉스,GS네오텍,경의선_문산,Gyeongui Line_Munsan,47,2번홈_전체,15.0,2.0,0.0,0.0,진입/진출센서
9,Gyeongui Line,야당,Yadang,Open/Close Sensor,2019-01-27,2015-10-15,2019,1,2019-01,Winter,1200,40.0,3.287671233,10944,Medium-Low,Above Ground,74,Low,Unknown,현대무벡스,경의선_야당,Gyeongui Line_Yadang,56,2번홈_8-4,94.0,2.0,8.0,4.0,열림/닫힘센서
10,Gyeongui Line,수색,Susaek,Open/Close Sensor,2019-01-01,2018-02-15,2019,1,2019-01,Winter,320,10.66666667,0.876712329,4137,Low,Above Ground,82,Low,Unknown,우진산전,경의선_수색,Gyeongui Line_Susaek,97,4번홈_1-2,25.0,4.0,1.0,2.0,열림/닫힘센서
11,Gyeongbu Line,남영,Namyeong,Motor,2019-01-04,2014-03-15,2019,1,2019-01,Winter,1756,58.53333333,4.810958904,13231,Medium-Low,Above Ground,236,High,dunkern,삼중테크,경부선_남영,Gyeongbu Line_Namyeong,162,2번홈_7-4,67.0,2.0,7.0,4.0,모터
13,Gyeongui Line,DMC,DMC,Open/Close Sensor,2019-01-05,2018-01-15,2019,1,2019-01,Winter,355,11.83333333,0.97260274,6446,Low,Above Ground,85,Medium-Low,Unknown,우진산전,경의선_DMC,Gyeongui Line_DMC,93,4번홈_8-2,36.0,4.0,8.0,2.0,열림/닫힘센서
14,Gyeongui Line,한국항공대,Korea Aerospace University,Motor,2019-01-07,2017-12-15,2019,1,2019-01,Winter,388,12.93333333,1.063013699,3275,Low,Above Ground,78,Low,dunkern,우진산전,경의선_한국항공대,Gyeongui Line_Korea Aerospace University,47,4번홈_1-1,45.0,4.0,1.0,1.0,모터
15,Gyeongui Line,수색,Susaek,Open/Close Sensor,2019-01-10,2018-02-15,2019,1,2019-01,Winter,329,10.96666667,0.901369863,4137,Low,Above Ground,82,Low,Unknown,우진산전,경의선_수색,Gyeongui Line_Susaek,97,4번홈_7-2,34.0,4.0,7.0,2.0,열림/닫힘센서
16,Gyeongui Line,한국항공대,Korea Aerospace University,Motor,2019-01-10,2017-12-15,2019,1,2019-01,Winter,391,13.03333333,1.071232877,3275,Low,Above Ground,78,Low,dunkern,우진산전,경의선_한국항공대,Gyeongui Line_Korea Aerospace University,47,4번홈_1-2,25.0,4.0,1.0,2.0,모터
17,Gyeongbu Line,남영,Namyeong,Motor,2019-01-11,2014-03-15,2019,1,2019-01,Winter,1763,58.76666667,4.830136986,13231,Medium-Low,Above Ground,236,High,dunkern,삼중테크,경부선_남영,Gyeongbu Line_Namyeong,162,2번홈_4-4,112.0,2.0,4.0,4.0,모터
18,Gyeongui Line,가좌,Gajwa,Emergency Door Sensor,2019-01-18,2018-01-15,2019,1,2019-01,Winter,368,12.26666667,1.008219178,7627,Medium-Low,Above Ground,85,Medium-Low,Unknown,우진산전,경의선_가좌,Gyeongui Line_Gajwa,22,2번홈_4-3,81.0,2.0,4.0,3.0,비상문센서
20,Gyeongin Line,개봉,Gaebong,DCU,2019-01-03,2018-02-15,2019,1,2019-01,Winter,322,10.73333333,0.882191781,30045,High,Above Ground,209,High,우진산전,우진산전,경인선_개봉,Gyeongin Line_Gaebong,173,2번홈_10-4,83.0,2.0,10.0,4.0,DCU
21,Gyeongin Line,개봉,Gaebong,DCU,2019-01-07,2018-02-15,2019,1,2019-01,Winter,326,10.86666667,0.893150685,30045,High,Above Ground,209,High,우진산전,우진산전,경인선_개봉,Gyeongin Line_Gaebong,173,2번홈_1-1,163.0,2.0,1.0,1.0,DCU
