Component_EN,Location_Type_EN,Group_Size,Median_TTF_Days,Survival_Prob_365d,Survival_Prob_730d,Survival_Prob_1095d,Survival_Prob_1825d,Survival_Prob_2555d,Survival_Prob_3650d
Entry/Exit Sensor,Overall,154,1413.3991450173914,0.9392912301830161,0.8069912567416133,0.6436850400965273,0.33579877635381017,0.13760899288621553,0.023840057669128334
Entry/Exit Sensor,Above Ground,146,1402.2356700254309,0.9384574205772058,0.8045410734111873,0.639676485968507,0.3306426446688857,0.13379280117175774,0.02260983354888635
Entry/Exit Sensor,Underground,8,1795.1606567640345,0.9598641472161515,0.869133960699276,0.7496544548889137,0.48981014650778343,0.27329028930451993,0.08682868838446
Motor,Overall,2511,1649.5763566537428,0.9524463260150492,0.8478533224527739,0.7139397293562039,0.436877828755442,0.22373581647150576,0.0604914437496038
Motor,Above Ground,1949,1638.0039940661457,0.9518678634017183,0.8461101954808398,0.7109462968810025,0.4323898665424435,0.21959735254577506,0.05841204280066503
Motor,Underground,562,1781.939896992392,0.958359766167132,0.8658182334962913,0.74516442634464,0.48534213786809655,0.27061003649971804,0.0863903585719934
Emergency Door Sensor,Overall,202,1392.776688083276,0.9150015047345189,0.7731567518127418,0.6192541698848177,0.3501732994800335,0.17233326271116167,0.04787683972417933
Emergency Door Sensor,Above Ground,181,1403.3396691854994,0.9159386992261378,0.775452554683218,0.6226838170321308,0.35443370168998656,0.1758610635071034,0.04958343132672649
Emergency Door Sensor,Underground,19,1474.688833315605,0.9218497260831714,0.7900354427357158,0.6446735241662962,0.3824165942609006,0.1997421217516513,0.061789988416022346
Emergency Door Sensor,Unknown,2,1485.197950174074,0.9226628767123515,0.7920554738006782,0.647747409040399,0.3864204008125258,0.20325874612725148,0.06368231071980157
DCU,Overall,1702,1799.479872149926,0.9409155445950863,0.8392924560121117,0.7224860043262011,0.49253585851744,0.30642249632816076,0.13038814564697088
DCU,Above Ground,1357,1796.6964868661544,0.9407801730772797,0.8389451399499473,0.7219313791005985,0.4917124786158724,0.30556743179294843,0.12976209050685628
DCU,Underground,345,2151.636408414831,0.9546819323206326,0.8751040061166151,0.7807248848037466,0.5831632254478052,0.4062852038988769,0.21195813509974926
Open/Close Sensor,Overall,1152,1741.5644678759486,0.9631447830904768,0.8720913507189652,0.7470482022581424,0.4693591552776357,0.24242811537562947,0.06349818724972167
Open/Close Sensor,Above Ground,1028,1739.827990360764,0.9630774059914621,0.8718690223415715,0.7466424466701206,0.46869823106859054,0.24178896462935728,0.06317291181205043
Open/Close Sensor,Underground,124,2160.5819404142403,0.9751977385446828,0.9125296270717165,0.8227988750523119,0.6029730298804734,0.3876144942541886,0.1582228080052419
Electrical Stop,Overall,3507,2220.614229195995,0.9723421788515463,0.9083958338343946,0.8208426037175054,0.6131298646717587,0.41095609979520775,0.1871860797110081
Electrical Stop,Above Ground,2927,2223.8067542710405,0.9724116873306623,0.9086182917787151,0.8212557252722991,0.613894755707183,0.41188855878619113,0.18798719322486568
Electrical Stop,Underground,580,1970.5033167021563,0.9659146665533513,0.8879911031563247,0.7834030426630406,0.5461548788178098,0.33302061388452575,0.12594788081876962
Obstacle Sensor,Overall,513,2319.351321745871,0.9722224241211186,0.9106578376598078,0.8278687778781115,0.6327883315443394,0.4405952295295297,0.21864763388825537
Obstacle Sensor,Above Ground,428,2351.1052429606684,0.9728601821809033,0.9126439302852564,0.8315171643878383,0.6395651957196788,0.44908229086844953,0.22652408402739566
Obstacle Sensor,Underground,85,2401.0122158940326,0.9738170588880687,0.9156294917914549,0.837016772593481,0.6498609095797909,0.4621128737176259,0.2388667332934915
Position Sensor,Overall,184,1595.127983406678,0.9597013292152367,0.8563032457754701,0.7137414499841839,0.4077874719813077,0.1811136194852565,0.033945310816706264
Position Sensor,Above Ground,179,1588.9109455194844,0.9594050401357267,0.8553066316244513,0.711936862880356,0.4050507926480029,0.1788054290828167,0.033094106112611765
Position Sensor,Underground,5,2045.1280312338597,0.9747671631001597,0.9081143090954724,0.8109662726126343,0.5727390173919013,0.3459027210133018,0.12222262653315719
Door Detection Sensor,Overall,153,1702.10164775264,0.9675263260202415,0.8781121979540867,0.7484379962956005,0.4513141777456833,0.21279048596416184,0.04360916324739117
Door Detection Sensor,Above Ground,146,1699.0380834027108,0.9674123597170632,0.8777050166802784,0.7476645341543191,0.4500347617674464,0.21161875334903812,0.043124431813084674
Door Detection Sensor,Underground,6,1768.4222734068198,0.9698541283734998,0.8864598975744182,0.7643921568269658,0.47822248780208765,0.23816153463493972,0.0547778552744278
Door Detection Sensor,Unknown,1,1173.343797988527,0.9334349122973011,0.7624505656030116,0.546278470181422,0.19012415727049103,0.039601162156785774,0.0014499356391510787
